category,month,latitude,longitude,street,outcome,source
anti-social-behaviour,2026-06,51.516275,-0.126121,On or near Theatre/concert Hall,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.498553,-0.135291,On or near Caxton Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.509491,-0.125924,On or near William Iv Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.511022,-0.119880,On or near Strand,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.514867,-0.138790,On or near Further/higher Educational Building,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.505921,-0.109067,On or near Aquinas Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.501162,-0.116252,On or near Addington Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.511790,-0.132459,On or near A401,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.508450,-0.143266,On or near Nightclub,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.507096,-0.122909,On or near Embankment Place,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.502823,-0.119257,On or near Theme/adventure Park,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.507096,-0.122909,On or near Embankment Place,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.513724,-0.111756,On or near Fleet Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.519005,-0.114132,On or near Further/higher Educational Building,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.518456,-0.133209,On or near Percy Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.508450,-0.143266,On or near Nightclub,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.516930,-0.132220,On or near Hanway Place,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.508964,-0.122761,On or near Lower Robert Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.499692,-0.114266,On or near Westminster Bridge Road,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.503762,-0.107398,On or near Greet Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.507832,-0.123383,On or near Villiers Street,,UK Police street-level API sample around central London
